wafer_id,n_dies,n_pos,AP_A,AP_B,delta_AP,AUC_A,AUC_B,delta_AUC,F1_A,F1_B,delta_F1
W_F_0024,677,48,0.5750787770069159,0.7172305095824981,0.14215173257558222,0.8231981981981982,0.8897721250662426,0.06657392686804442,0.56,0.6987951807228916,0.13879518072289154
W_F_0025,814,53,0.6606895750656249,0.7615737151532833,0.10088414008765845,0.9072223737386259,0.9323382837874693,0.025115910048843393,0.5714285714285714,0.7058823529411765,0.13445378151260512
W_F_0026,1886,191,0.6243921864864636,0.7292293586347597,0.10483717214829613,0.8521336236853079,0.9043228466848908,0.05218922299958295,0.5289855072463768,0.6708074534161491,0.14182194616977228
W_F_0028,752,35,0.48602846188936655,0.5448327223197107,0.058804260430344146,0.8490535963339311,0.8855947399880454,0.036541143654114316,0.3950617283950617,0.5,0.1049382716049383
W_F_0029,1014,167,0.6909201331589647,0.7505168912559496,0.059596758096984837,0.8529576030936946,0.9020848503700981,0.049127247276403496,0.5342465753424658,0.624,0.08975342465753422
W_F_0031,497,16,0.5546913001887673,0.6125778253645133,0.057886525175745995,0.9338617463617463,0.9367203742203742,0.0028586278586278935,0.47619047619047616,0.43478260869565216,-0.041407867494824
W_F_0032,747,16,0.26217128374740845,0.3297578935518931,0.06758660980448467,0.7983071135430916,0.8608071135430917,0.06250000000000011,0.3157894736842105,0.3,-0.01578947368421052
W_F_0033,1860,40,0.47590190710194774,0.4882821172214125,0.012380210119464774,0.8248901098901099,0.8843131868131868,0.05942307692307691,0.5263157894736842,0.4473684210526316,-0.0789473684210526
W_F_0034,940,8,0.39307535344726613,0.39792199276319645,0.004846639315930323,0.8543454935622318,0.8806330472103004,0.026287553648068673,0.5454545454545454,0.5454545454545454,0.0
W_F_0035,425,12,0.42939108853838376,0.5694913128772123,0.14010022433882857,0.831315577078289,0.9029459241323649,0.0716303470540759,0.5,0.5,0.0
